,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
3063,1141,3362,525,980,177,26,64,436,16,27.0,599,369,31.0,49,26,25.0,56.0,1
3064,14,26,4,4,1,0,0,1,0,0.0,3,4,0.0,0,1,0.0,0.0,1
3065,67,121,20,25,7,0,0,5,2,2.0,6,26,1.0,2,1,0.0,3.0,1
3066,186,35,6,7,1,1,0,4,0,0.0,3,9,0.0,0,1,0.0,0.0,1
3067,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3068,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3069,3,2,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,0.0,0.0,0
3070,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3071,129,297,33,73,16,2,6,40,0,2.0,20,69,2.0,1,1,1.0,1.0,1
3072,1204,4017,648,1061,195,16,101,461,212,98.0,510,676,11.0,40,34,49.0,102.0,1
3073,31,59,7,11,3,0,1,8,0,0.0,4,15,0.0,1,0,0.0,0.0,0
3074,331,1065,147,294,45,16,9,108,20,20.0,142,124,0.0,3,17,0.0,25.0,0
3075,445,359,29,63,4,3,0,16,0,0.0,18,157,0.0,1,39,2.0,5.0,1
3076,5,3,0,0,0,0,0,0,0,0.0,1,1,0.0,1,0,0.0,0.0,1
3077,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3078,69,82,9,15,3,0,2,5,0,0.0,14,32,0.0,0,2,0.0,0.0,1
3079,16,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,0
3080,42,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3081,114,242,21,42,4,2,2,22,2,2.0,23,38,0.0,0,4,0.0,10.0,1
3082,670,2107,311,510,96,2,105,323,6,6.0,444,819,12.0,12,0,18.0,32.0,1
3083,235,767,76,193,39,2,18,79,2,1.0,56,167,0.0,2,1,4.0,21.0,0
3084,545,1992,223,531,64,30,5,225,80,43.0,93,61,0.0,10,116,0.0,0.0,1
3085,1879,7161,1305,2299,394,157,128,1065,328,153.5,676,752,0.0,85,176,0.0,53.0,1
3086,490,1386,227,329,47,23,10,119,77,26.0,121,273,0.0,16,37,7.0,15.0,0
3087,146,174,19,35,5,2,0,13,0,1.0,15,22,0.0,0,9,0.0,0.0,1
3088,5,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
3089,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
