retroID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
hovle101,1919,0,0,3,0,0,0,0,17,12,8,0,9,3,0.48,12.71,0,1,0,0,34,0,10,0,0,0
hoytw101,1919,4,6,13,11,6,1,0,316,99,38,1,22,28,0.26,3.25,0,1,0,0,423,2,42,0,0,0
hubbb101,1919,1,1,2,2,2,0,0,55,19,4,0,2,3,0.26,1.96,0,0,2,0,78,0,4,0,0,0
jacoe101,1919,6,10,17,15,13,0,0,386,150,55,5,44,37,0.3,3.85,0,2,6,2,557,2,66,0,0,0
jacoe101,1919,3,6,17,8,4,1,1,256,81,24,2,25,31,0.26,2.53,0,2,5,1,346,7,30,0,0,0
jameb103,1919,1,0,2,1,0,0,0,28,12,6,0,7,3,0.32,5.79,0,1,0,0,42,0,6,0,0,0
jameb103,1919,3,5,13,7,4,0,0,218,74,33,2,39,12,0.28,4.09,0,2,3,0,306,4,42,0,0,0
jameb103,1919,3,2,5,5,3,2,0,118,39,11,0,14,11,0.28,2.52,0,0,2,0,155,0,12,0,0,0
jameb102,1919,0,0,1,0,0,0,0,16,6,2,0,2,1,0.27,3.38,0,0,0,0,24,1,2,0,0,0
jamic101,1919,0,0,4,1,0,0,0,39,12,8,0,8,0,0.25,5.54,0,0,0,0,56,2,9,0,0,0
jasph101,1919,4,5,12,10,5,0,0,248,83,33,1,28,25,0.26,3.59,0,0,0,0,303,1,40,0,0,0
johnj102,1919,9,15,34,25,12,0,0,606,222,81,8,62,67,0.29,3.61,0,4,3,1,829,7,106,0,0,0
johnw102,1919,20,14,39,29,27,7,2,871,235,48,0,51,147,0.21,1.49,0,4,7,1,1155,10,73,0,0,0
jonej104,1919,0,0,2,0,0,0,1,20,9,4,0,3,3,0.31,5.4,0,1,1,0,35,1,4,0,0,0
jones104,1919,12,20,35,31,21,5,1,735,258,102,4,95,67,0.27,3.75,0,5,7,0,1029,4,120,0,0,0
jordr101,1919,0,0,1,1,0,0,0,12,6,5,1,2,2,0.35,11.25,0,0,0,0,19,0,5,0,0,0
kallr101,1919,0,0,12,1,0,0,1,67,28,14,0,8,3,0.32,5.64,0,3,1,0,95,9,15,0,0,0
keatr101,1919,7,11,22,13,9,1,0,408,129,45,2,45,48,0.26,2.98,0,6,2,0,559,7,61,0,0,0
keefd101,1919,0,1,1,1,1,0,0,27,8,4,0,3,5,0.24,4,0,0,0,0,36,0,4,0,0,0
kerrd101,1919,13,7,39,17,10,1,0,637,208,68,2,64,79,0.25,2.88,0,2,2,1,868,20,78,0,0,0
kinnw101,1919,9,15,43,21,13,0,2,608,199,82,7,91,97,0.26,3.64,0,4,8,2,858,21,110,0,0,0
kircm101,1919,0,0,2,0,0,0,0,24,15,7,0,3,2,0.42,7.88,0,1,0,0,38,1,8,0,0,0
klepe101,1919,0,0,5,0,0,0,0,22,12,6,1,6,7,0.37,7.36,0,0,0,0,38,2,14,0,0,0
koenw101,1919,0,0,1,0,0,0,0,0,2,2,0,1,0,1,7.86125,0,0,0,0,3,0,2,0,0,0
koobe101,1919,2,3,25,4,0,0,0,198,77,34,3,23,11,0.29,4.64,0,2,2,0,285,7,37,0,0,0
leifl101,1919,6,4,19,9,6,2,0,276,96,30,4,25,18,0.27,2.93,0,0,4,0,385,6,40,0,0,0
leond102,1919,14,13,29,28,18,4,0,652,212,67,7,65,102,0.25,2.77,0,4,7,0,908,1,89,0,0,0
loves101,1919,6,4,22,8,4,0,1,269,92,30,3,40,46,0.27,3.01,0,1,6,0,380,10,40,0,0,0
lowdg101,1919,0,0,7,0,0,0,0,36,6,1,0,4,6,0.17,0.75,0,1,5,0,43,4,2,0,0,0
lowdg101,1919,5,5,20,11,5,0,0,290,95,30,0,43,43,0.26,2.79,0,2,4,0,402,2,44,0,0,0
luqud101,1919,10,3,30,9,6,2,3,318,89,31,2,36,40,0.23,2.63,0,0,2,0,429,15,35,0,0,0
mamaa101,1919,10,12,30,22,16,2,0,598,174,59,2,66,80,0.24,2.66,0,4,4,0,808,7,89,0,0,0
maper101,1919,0,3,4,3,2,0,0,60,17,10,0,17,2,0.26,4.5,0,0,3,0,85,1,12,0,0,0
marqr102,1919,3,3,8,7,3,0,0,177,54,15,1,10,29,0.24,2.29,0,3,0,0,238,0,17,0,0,0
martp102,1919,0,2,2,2,1,0,0,33,11,5,0,8,6,0.25,4.09,0,0,0,0,51,0,8,0,0,0
marts102,1919,8,8,35,14,7,2,2,491,158,45,2,52,54,0.25,2.47,0,6,4,0,679,16,58,0,0,0
mayee101,1919,5,3,18,10,6,0,1,265,100,44,2,12,20,0.26,4.48,0,1,2,0,395,8,50,0,0,0
mayee101,1919,1,3,6,2,0,0,0,71,30,22,1,11,9,0.31,8.37,0,2,0,0,106,1,23,0,0,0
may-j102,1919,3,12,28,19,8,1,0,377,99,45,1,87,58,0.23,3.22,0,4,14,1,553,6,64,0,0,0
maysc101,1919,5,11,21,16,14,2,2,438,131,40,3,40,53,0.24,2.47,0,4,5,0,576,5,53,0,0,0
maysc101,1919,9,3,13,13,12,1,0,360,96,22,2,37,54,0.21,1.65,0,0,5,0,487,0,38,0,0,0
