retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
schuw103,0.37,6,0,0,2,0,0,0,0,18,10,4,0,2,0,0,0,0,0,30,1,5,0,0,0
schuw104,0.25,9,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,1,1,0,0,0
schwb104,0.33,8.53,1,1,12,5,0,0,0,95,44,30,3,21,7,0,1,0,0,156,3,34,0,0,0
schwc001,0.3155,8.585,0,3,7,6,0,0,0,89,38,23,5,9,18,2,1,1,0,141,1,26,3,2,0
schwd101,0.2162,3.1612,49,48,172,103,18,5,4,2229,710,307,50,391,408,25,27,27,4,3251,34,367,0,0,0
schwj001,0.2187,4.7033,2,2,54,0,0,0,0,207,49,32,1,60,59,2,8,3,1,306,15,34,1,4,10
schwm001,0.333,4.245,2,4,14,4,0,0,0,145,63,31,6,16,14,5,1,1,0,224,6,34,1,3,3
schwm002,0.261,4.74,3,2,47,0,0,0,0,146,45,25,5,23,52,3,1,3,0,211,21,26,5,3,0
scorh101,0.205,3.865,55,46,150,127,47,11,3,2575,609,320,79,573,837,7,55,7,2,3696,11,364,0,0,0
scotd003,0.25,5.85,1,2,16,0,0,0,0,60,19,13,1,11,13,1,2,1,0,90,2,13,0,2,0
scotd102,0.375,9.605,0,0,12,0,0,0,2,49,27,15,8,4,7,0,0,0,0,79,5,16,0,0,0
scotg101,0.2,4.5,0,0,2,0,0,0,0,18,4,3,0,3,1,0,0,0,0,25,0,3,0,0,0
scotj101,0.2955,4.3045,102,107,348,192,112,11,19,5310,1928,762,93,485,632,0,23,40,1,7579,119,886,0,0,0
scotl101,0.31,4.43,0,2,8,2,0,0,0,67,29,11,1,12,5,0,1,0,0,108,3,13,0,0,0
scotm001,0.2632,4.5,124,108,347,319,45,22,3,6206,1858,813,173,627,1469,53,39,33,19,8571,13,908,100,65,122
scotm101,0.2827,4.2567,8,7,133,0,0,0,4,516,177,71,18,50,70,11,3,4,0,734,54,89,19,8,11
scotr001,0.2652,4.2,4,2,84,0,0,0,0,167,46,25,10,27,53,3,4,8,0,243,18,26,2,2,2
scott002,0.2974,5.637,24,13,276,0,0,0,5,942,308,144,24,133,253,15,10,19,3,1375,75,157,16,8,19
scott003,0.2753,6.9933,4,4,83,0,0,0,0,244,85,48,10,49,115,3,9,3,0,371,14,52,1,1,7
scott004,0.3885,14.04,0,0,13,2,0,0,0,49,31,26,6,11,14,0,2,4,0,93,6,28,0,0,3
scrie001,0.2513,4.8629,5,4,145,0,0,0,1,507,161,78,27,29,155,1,5,4,0,694,54,81,2,1,6
scrit001,0.231,4.545,2,2,11,5,0,0,0,82,21,13,7,16,22,0,0,2,0,120,3,16,0,0,1
scuds001,0.2772,5.604,21,34,96,64,0,0,1,1159,395,206,42,206,226,19,16,13,3,1739,11,231,24,10,25
scurr001,0.2158,3.2756,19,32,332,7,0,0,39,1382,384,166,31,274,431,29,41,19,14,2023,145,190,22,13,29
sealj101,0.335,7.8,1,0,8,0,0,0,0,39,13,8,2,6,8,0,0,0,0,58,0,8,0,0,0
seamk101,0.094,1.71,3,2,27,0,0,0,4,77,16,9,2,15,13,1,0,0,0,107,11,9,1,0,2
seanr001,0.2462,5.1725,41,30,544,0,0,0,12,1698,515,258,58,285,574,28,48,15,1,2477,159,285,19,22,36
searr001,0.2444,3.5475,11,13,254,0,0,0,11,863,267,112,22,137,193,23,14,3,2,1242,101,120,15,14,20
sears001,0.2848,5.8317,6,13,70,21,1,0,0,561,205,118,25,119,140,5,8,0,1,863,16,131,8,12,22
seatt101,0.275,4.525,12,9,57,20,6,2,1,532,194,88,12,58,69,0,5,5,0,788,14,114,0,0,0
seavt001,0.2285,3.0368,311,205,656,647,231,61,1,14348,3971,1521,380,1390,3640,116,126,76,8,19369,6,1674,141,96,207
