retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB_A,CS_A,ZR,weight,height,debutYear,finalYear,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
olivg101,325,8533,2057,172,34,30,54,118,159,83,5,0.610656,0.55,1959,1969,0,1,0,1,786,2216,2467,268,546,337,111,5,93,320,24,21,215,420,22,15,5,16,62,1
olivj001,934,24608,6059,451,71,59,77,0,670,303,0,0.569672,0.6,1989,2001,0,1,0,1,1076,3367,3698,320,831,552,174,3,102,476,13,13,248,637,52,15,34,34,93,1
olivm001,953,25411,6675,501,84,69,100,0,459,234,0,0.631148,0.45,2002,2014,0,1,0,1,1124,3765,3993,435,905,557,177,26,145,490,53,34,158,1060,19,29,17,24,77,1
olsog002,349,9391,2193,169,18,24,17,0,297,128,0,0.508197,0.45,1989,1993,0,1,0,1,414,1275,1433,132,309,225,61,3,20,131,5,3,137,157,11,7,6,8,40,1
oneih102,0,0,0,0,0,0,0,0,0,0,0,0.528689,0.6,1939,1939,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oneim102,0,0,2020,670,77,47,38,0,0,0,0,0.446721,0.35,1919,1927,0,1,0,1,672,1995,2201,177,475,407,41,23,4,179,18,14.5,139,127,0,12,55,0,0,1
oneis101,0,0,2899,692,95,70,69,0,0,0,0,0.364754,0.35,1911,1928,0,1,0,1,851,2557,3063,266,734,543,163,18,10,346,9,19,412,173,0,19,75,0,0,0
onisr101,0,0,1,0,1,0,0,0,0,0,0,0.42623,0.3,1935,1935,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oquej001,0,3,1,0,0,0,0,0,0,0,0,0.344262,0.35,1983,1995,0,0,0,1,1190,3202,3737,339,821,679,104,24,14,254,35,33,448,376,58,5,50,32,65,1
orsij101,253,6861,1567,108,31,19,24,59,105,45,3,0.569672,0.6,1961,1967,0,1,0,1,332,1014,1135,114,252,163,44,5,40,123,3,3,92,191,11,17,2,10,30,1
ortih001,77,2049,436,46,5,2,1,0,44,24,0,0.528689,0.45,1998,2002,0,1,0,1,93,260,284,29,75,60,13,1,1,18,1,3,18,33,1,2,4,0,6,0
ortij001,543,14746,2934,324,45,40,50,0,455,211,0,0.401639,0.4,1982,1994,0,1,0,1,749,1894,2071,142,484,404,71,4,5,186,8,18,121,222,7,18,26,12,58,1
ortoj001,131,3474,782,85,13,14,4,0,77,51,0,0.487705,0.5,1989,1993,0,1,0,1,156,401,448,35,80,58,18,0,4,29,2,5,31,121,0,5,11,0,6,0
osbob101,0,6,0,0,0,0,0,0,1,0,0,0.528689,0.5,1957,1963,1,0,0,1,359,763,882,93,157,108,30,2,17,86,2,0,104,171,7,6,3,6,9,0
osikk001,266,7295,1781,153,17,19,22,0,190,79,0,0.446721,0.45,1996,2005,0,1,0,1,456,1123,1265,96,259,187,55,4,13,108,6,4,111,202,4,17,9,5,29,1
ott-e101,451,12342,2482,259,46,26,37,0,309,172,0,0.467213,0.35,1974,1981,1,0,0,1,567,1792,1961,196,465,346,76,10,33,195,14,16,138,254,30,3,15,13,35,1
ouelp001,6,168,42,3,0,0,0,0,7,2,0,0.467213,0.45,1986,1986,0,0,0,1,10,23,26,1,4,4,0,0,0,0,0,0,3,3,0,0,0,0,3,1
outec101,0,0,98,11,2,1,1,0,0,0,0,0.508197,0.45,1933,1933,1,0,0,1,93,153,173,20,38,24,10,0,4,17,1,0.5,20,15,0,0,0,0,2,1
owenj001,91,2469,554,55,17,8,11,0,63,40,0,0.561475,0.5,1993,1996,0,1,0,1,130,323,371,54,75,46,16,2,11,36,5,1,38,104,1,4,3,3,3,1
owenj102,0,0,8,1,1,0,0,0,0,0,0,0.45082,0.5,1935,1935,0,1,0,1,2,8,8,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
owenl001,116,3172,722,69,16,9,7,0,87,43,0,0.446721,0.4,1981,1988,0,1,0,1,171,352,401,30,68,49,11,0,8,30,0,1,34,98,3,2,11,2,7,1
owenm101,16,516,4527,581,96,93,73,3,5,4,1,0.467213,0.35,1937,1954,0,1,0,1,1209,3649,4072,338,929,731,163,21,14,378,36,18.5,326,181,0,13,80,4,122,1
pachj001,49,1339,348,20,5,3,7,0,30,4,0,0.508197,0.5,2011,2016,0,1,0,1,377,1076,1149,98,293,217,62,4,10,114,8,2,53,163,2,9,3,8,32,1
paddt101,0,0,1482,222,41,19,18,0,0,0,0,0.385246,0.4,1932,1943,0,1,0,1,399,1170,1319,122,318,270,40,6,2,110,5,2.5,127,121,0,3,19,0,31,1
padgd101,0,0,835,92,37,13,27,0,0,0,0,0.467213,0.45,1937,1948,1,0,0,1,699,1991,2146,247,573,409,111,16,37,338,6,3,141,130,0,4,10,0,50,1
paepd101,35,1002,218,21,4,2,3,1,24,12,0,0.516393,0.45,1969,1974,0,1,0,1,80,197,210,13,36,27,7,0,2,14,0,1,12,36,2,0,0,1,8,0
pagaj101,0,3,0,0,0,0,0,0,0,0,0,0.344262,0.3,1959,1973,0,1,0,1,1326,3689,4032,387,922,706,138,26,52,372,46,35,244,510,43,22,39,38,81,1
paglj101,705,18328,4139,302,41,50,54,175,293,141,7,0.54918,0.65,1955,1969,0,1,0,1,849,2465,2853,269,622,427,98,7,90,326,4,7,330,494,39,25,14,19,61,1
pagnm001,27,732,169,14,2,2,2,0,25,8,0,0.569672,0.55,2009,2014,0,1,0,1,43,92,105,8,25,22,2,0,1,13,0,0,5,21,0,2,6,0,2,1
pagnt001,748,20017,4124,389,38,47,32,0,496,293,0,0.467213,0.45,1987,1998,0,1,0,1,927,2896,3142,247,733,525,153,11,44,320,18,21,189,450,34,11,21,25,71,1
palar001,17,576,154,8,1,1,1,0,14,4,0,0.467213,0.35,1988,1990,0,1,0,1,101,114,125,22,22,14,5,0,3,17,2,3,7,42,0,1,2,1,2,0
palmj101,0,0,44,4,2,2,1,0,0,0,0,0.344262,0.25,1931,1931,0,1,0,1,19,44,50,5,10,8,2,0,0,4,0,0,6,3,0,0,0,0,0,0
pankj001,0,3,0,0,0,0,0,0,0,0,0,0.385246,0.35,1984,1990,0,1,0,1,318,567,620,62,142,106,25,2,9,55,8,3,44,115,3,3,4,2,11,1
pappe001,72,1966,409,37,10,6,4,0,56,22,0,0.467213,0.45,1991,1994,0,1,0,1,104,289,342,34,70,56,13,0,1,35,1,3,46,53,2,1,0,6,8,1
parda001,35,936,206,12,4,1,1,0,37,7,0,0.454918,0.55,1985,1989,0,0,0,1,53,129,132,6,17,14,2,0,1,4,0,0,3,31,0,0,0,0,2,1
parem001,365,9671,2262,196,25,28,25,0,255,133,0,0.569672,0.7,1986,1998,0,1,0,1,474,1303,1428,112,279,176,50,0,53,168,3,3,98,319,8,2,12,13,28,1
parit101,0,0,17,7,1,0,2,0,0,0,0,0.364754,0.35,1943,1944,0,1,0,1,10,21,23,0,3,3,0,0,0,1,0,0,2,3,0,0,0,0,1,0
parkd002,32,876,165,20,2,4,2,0,29,12,0,0.528689,0.45,1992,1994,0,1,0,1,45,115,125,10,23,16,6,0,1,10,0,1,6,23,0,3,1,0,2,0
parkd101,0,0,1,0,1,0,0,0,0,0,0,0.344262,0.4,1923,1923,1,0,0,1,4,5,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
parrl001,1715,45607,9647,980,94,133,192,0,1043,655,0,0.54918,0.6,1977,1995,0,1,0,1,1988,7067,7797,856,1782,1126,305,27,324,1070,28,37,612,1527,62,37,23,58,197,1
