retroID,GS,InnOuts,PO,A,E,DP,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
ecksd001,1224,32027,1905,3390,98,778,0.385246,0.15,2001,2010,0,0,0,0,0,0,1,0,1,0,1,1311,5041,5705,701,1414,1127,232,20,35,392,123,45,376,418,3,143,106,39,88,1
edenm101,5,174,16,18,2,6,0.385246,0.35,1976,1978,0,1,0,0,0,0,0,0,0,0,1,15,25,29,1,2,2,0,0,0,1,0,0,4,0,0,0,0,0,2,1
edled101,97,2428,89,182,21,20,0.446721,0.45,1980,1983,0,0,1,0,0,0,0,0,1,0,1,126,334,382,34,72,56,7,3,6,36,12,11,35,53,2,2,7,4,9,0
edmat001,75,2008,85,146,5,28,0.42623,0.35,2019,2019,0,1,0,0,0,0,0,0,0,0,1,92,326,349,59,99,64,17,7,11,36,15,1,16,61,0,7,0,0,3,1
edmoj001,1806,47273,4930,160,58,68,0.467213,0.5,1993,2010,0,0,0,0,1,0,0,1,0,1,0,2011,6858,7980,1251,1949,1094,437,25,393,1199,67,50,998,1729,91,49,10,65,122,1
edwad101,158,4755,437,23,20,4,0.385246,0.45,1978,1982,0,0,0,0,1,0,0,0,1,0,1,321,640,706,95,152,110,26,2,14,73,12,6,55,147,2,4,5,2,16,1
edwah101,0,0,1039,34,21,3,0.467213,0.45,1941,1953,0,0,0,0,1,0,0,1,0,1,0,735,2191,2409,285,613,405,116,41,51,276,9,22,208,264,0,2,8,0,30,1
edwam001,63,1662,77,61,7,5,0.42623,0.5,2003,2006,0,0,1,0,0,0,0,0,1,0,1,106,259,282,24,63,49,9,2,3,15,1,1,19,40,0,2,2,0,7,1
edwam101,238,6308,505,692,46,135,0.319672,0.35,1977,1980,0,1,0,0,0,0,0,0,1,0,1,317,879,938,94,220,186,28,4,2,49,38,30,32,77,0,5,21,1,19,1
edwam102,75,2360,222,7,3,2,0.331967,0.3,1981,1983,0,0,0,0,1,0,0,1,0,1,0,160,310,326,48,80,69,6,3,2,23,21,11,5,19,0,0,8,3,7,0
eenhr001,16,531,41,39,6,12,0.385246,0.6,1994,1997,0,1,0,0,0,0,0,0,1,0,1,37,67,74,7,16,12,3,0,1,10,0,0,3,10,0,0,1,3,1,0
eggee101,0,0,0,0,0,0,0.344262,0.3,1927,1927,0,1,0,0,0,0,0,0,1,0,1,5,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
eibnb001,56,1507,122,2,1,1,0.569672,0.65,2016,2017,0,0,0,0,1,0,0,0,1,0,1,87,220,244,24,42,23,10,1,8,28,0,2,21,67,1,1,1,1,3,1
eichi101,0,0,308,16,7,7,0.372951,0.4,1925,1931,0,0,0,0,1,0,0,0,1,0,1,171,516,556,51,121,82,34,5,0,51,3,3,21,51,0,0,19,0,0,0
eisej001,871,24328,2249,57,28,47,0.42623,0.4,1982,1998,0,0,0,0,1,0,0,1,0,1,0,1422,3995,4391,492,1160,848,221,39,52,477,105,38,324,435,47,8,22,42,75,1
eldeg101,0,0,19,0,0,0,0.42623,0.4,1949,1949,0,0,0,0,1,0,0,1,0,0,1,41,44,52,9,11,8,3,0,0,2,0,0,4,11,0,0,4,0,0,0
eldrb001,60,1577,518,19,7,54,0.795082,0.75,2005,2012,1,0,0,0,0,0,0,0,1,0,1,90,276,299,31,56,28,12,1,15,34,1,1,17,109,1,4,0,2,6,1
elial101,65,1698,106,188,14,39,0.405738,0.4,1966,1968,0,0,0,0,0,0,1,0,1,0,1,95,212,234,17,43,33,5,2,3,25,0,1,15,45,3,3,1,3,7,1
elkop101,0,0,14,23,4,2,0.446721,0.4,1943,1944,0,0,1,0,0,0,0,0,1,0,1,16,52,56,3,9,8,1,0,0,0,0,0,4,5,0,0,0,0,2,1
ellef101,0,0,567,862,80,55,0.364754,0.35,1919,1924,0,0,1,0,0,0,0,0,1,0,1,420,1453,1622,179,389,305,58,22,4,152,12,15.5,72,136,0,8,89,0,0,0
ellia101,0,0,496,20,4,39,0.385246,0.45,1923,1924,1,0,0,0,0,0,0,1,0,0,1,63,182,196,21,44,32,8,2,2,29,3,3,2,13,0,2,10,0,0,1
ellib102,0,0,424,94,6,21,0.385246,0.4,1916,1920,0,0,0,0,1,0,0,0,1,0,1,117,289,325,29,63,50,11,2,0,32,8,3,21,50,0,1,14,0,0,0
ellib103,0,0,2519,2790,261,259,0.446721,0.45,1939,1953,0,0,1,0,0,0,0,0,1,0,1,1978,7141,8190,1064,2061,1415,382,94,170,1195,60,30,967,604,0,16,66,0,187,1
ellic102,0,0,24,30,2,4,0.364754,0.4,1921,1921,0,0,0,0,0,0,1,1,0,0,1,12,28,35,5,7,5,2,0,0,0,0,0,5,3,0,0,2,0,0,1
ellih101,21,570,78,2,1,0,0.405738,0.3,1953,1955,0,0,0,0,1,0,0,0,1,0,1,92,176,194,15,45,32,10,1,2,18,0,2,14,17,3,2,0,2,11,1
ellij001,119,3915,373,8,11,1,0.42623,0.35,2003,2008,0,0,0,0,1,0,0,0,1,0,1,344,554,609,89,139,104,24,3,8,35,22,11,36,88,1,5,12,2,11,1
ellil101,113,2845,206,12,10,1,0.508197,0.55,1962,1966,0,0,0,0,1,0,0,1,0,1,0,157,437,486,53,103,64,22,2,15,56,1,3,45,105,3,3,0,1,9,1
ellim001,1324,35314,2721,3960,63,919,0.467213,0.35,2002,2014,0,1,0,0,0,0,0,0,1,0,1,1435,5117,5728,690,1343,956,257,25,105,550,82,29,438,801,20,75,59,39,89,1
ellir101,57,1572,107,5,2,2,0.467213,0.55,1972,1980,0,0,0,0,1,0,0,0,1,0,1,114,288,310,31,62,40,12,2,8,35,0,3,18,57,2,1,1,2,7,1
ellir103,40,1077,51,26,4,5,0.42623,0.4,1971,1975,0,0,0,0,1,0,0,0,1,0,1,64,166,189,16,38,34,4,0,0,10,0,2,16,35,0,1,4,2,6,0
ellsj001,1154,30757,2784,33,15,13,0.487705,0.5,2007,2017,0,0,0,0,1,0,0,1,0,1,0,1235,4846,5344,749,1376,984,241,47,104,512,343,71,399,737,19,46,21,32,82,0
elmov101,0,0,0,0,1,0,0.446721,0.4,1924,1924,0,0,0,0,1,0,0,1,0,0,1,7,17,18,2,3,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0
elshr101,0,0,229,12,12,5,0.364754,0.3,1923,1925,0,0,0,0,1,0,0,0,1,0,1,173,404,447,55,106,86,17,3,0,39,24,9,31,44,0,1,11,0,0,0
elstk001,827,21960,1331,2369,101,434,0.42623,0.55,1986,2000,0,0,0,0,0,0,1,0,1,0,1,940,2844,3225,332,648,412,136,12,88,376,14,11,295,562,39,13,38,35,45,1
emaub001,10,250,16,37,0,5,0.528689,0.45,2011,2011,0,1,0,0,0,0,0,0,1,0,1,14,37,42,2,6,6,0,0,0,1,0,0,4,9,1,1,0,0,3,1
emerc101,0,36,16,0,0,0,0.528689,0.55,1963,1963,1,0,0,0,0,0,0,1,0,1,0,16,19,19,0,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1
emers101,0,0,2,0,0,0,0.364754,0.3,1924,1924,0,0,0,0,1,0,0,0,1,0,1,5,3,3,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
emmeb101,0,0,14,1,0,0,0.32377,0,1923,1923,0,0,0,0,1,0,0,0,1,0,1,13,24,27,3,2,2,0,0,0,0,1,1,2,3,0,0,1,0,0,1
emmef101,0,0,141,242,34,40,0.303279,0.25,1916,1926,0,0,0,0,0,0,1,0,1,0,1,80,224,255,22,44,31,7,6,0,18,1,0.5,13,30,0,1,17,0,0,1
encae001,1143,29867,4415,1355,144,460,0.631148,0.5,2005,2019,1,0,0,0,0,0,0,0,1,0,1,1916,6881,7934,1080,1807,1018,365,10,414,1242,61,14,887,1372,54,101,0,65,182,1
encaj001,1203,31705,2504,53,51,14,0.344262,0.55,1997,2007,0,0,0,0,1,0,0,0,1,0,1,1259,4685,5095,618,1264,820,242,46,156,667,127,59,288,853,13,54,27,41,116,1
encam001,18,490,40,1,0,2,0.54918,0.55,2001,2002,0,0,0,0,1,0,0,0,1,0,1,23,69,76,3,14,13,1,0,0,3,2,1,7,17,0,0,0,0,3,1
endib101,0,0,4,0,0,0,0.405738,0.4,1946,1946,0,0,0,0,1,0,0,1,0,1,0,20,20,24,2,4,1,3,0,0,3,0,0,4,4,0,0,0,0,1,1
engea001,280,7579,767,12,12,3,0.54918,0.55,2017,2019,0,0,0,0,1,0,0,0,1,0,1,329,957,1047,109,206,141,38,9,18,76,27,12,51,324,0,22,16,1,7,0
englc101,0,0,36,65,12,7,0.344262,0.3,1932,1937,0,1,0,0,0,0,0,0,1,0,1,50,136,140,10,39,28,8,2,1,13,0,0,4,10,0,0,0,0,3,1
englc102,0,0,126,188,18,24,0.282787,0.25,1925,1930,0,0,0,0,0,0,1,0,1,0,1,87,235,277,41,59,48,10,1,0,15,1,0.5,32,26,0,2,8,0,0,1
englg101,0,0,233,420,36,43,0.42623,0.4,1931,1944,0,0,1,0,0,0,0,0,1,0,1,240,791,859,74,194,157,22,7,8,90,5,3,56,78,0,3,9,0,20,1
englw101,0,0,2123,3308,235,558,0.32377,0.35,1927,1938,0,0,0,0,0,0,1,0,1,0,1,1261,4746,5469,801,1356,1036,236,52,32,422,57,28.5,571,536,0,29,123,0,32,1
ennid101,670,17440,3629,150,121,27,0.487705,0.45,1946,1959,0,0,0,0,1,0,0,0,1,0,1,1903,7254,7940,985,2063,1348,358,69,288,1284,45,29,597,719,23,31,20,38,212,1
ens-j101,0,0,149,85,9,13,0.364754,0.35,1922,1925,1,0,0,0,0,0,0,0,1,0,1,67,186,205,25,54,41,8,4,1,24,5,0,7,16,0,2,10,0,0,1
ensbm001,562,15304,458,1120,72,121,0.54918,0.55,2000,2008,0,0,1,0,0,0,0,0,1,0,1,731,2204,2580,340,579,357,102,10,110,347,22,19,332,436,18,21,8,15,58,1
eppaj001,20,495,76,4,2,4,0.42623,0.55,1987,1990,1,0,0,0,0,0,0,1,0,1,0,82,139,156,9,39,35,3,1,0,16,0,0,14,21,0,1,2,0,5,0
eppsh101,0,0,236,7,8,3,0.405738,0.45,1938,1944,0,0,0,0,1,0,0,1,0,1,0,125,391,435,58,99,76,13,9,1,21,5,4,37,43,0,1,6,0,6,1
epstm101,805,20626,6957,477,70,681,0.631148,0.6,1966,1974,1,0,0,0,0,0,0,1,0,1,0,907,2854,3393,362,695,456,93,16,130,380,7,17,448,645,43,70,3,18,53,0
ericm001,1,36,1,7,0,1,0.467213,0.4,2004,2004,0,1,0,0,0,0,0,1,0,0,1,4,6,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ermec101,0,0,4,3,0,0,0.405738,0.45,1947,1947,0,1,0,0,0,0,0,0,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ernaf101,10,219,19,0,1,0,0.487705,0.5,1957,1958,0,0,0,0,1,0,0,0,1,0,1,29,43,52,9,12,5,3,2,2,7,0,0,9,16,0,0,0,0,0,1
erstd001,1381,36723,6963,370,33,448,0.487705,0.55,1996,2009,1,0,0,0,0,0,0,1,0,1,0,1654,6024,6615,913,1697,1224,316,33,124,699,179,58,475,939,46,37,36,43,87,1
esasn001,732,19286,4180,614,67,368,0.508197,0.6,1983,1990,1,0,0,0,0,0,0,0,1,0,1,810,2703,3064,336,677,414,120,21,122,427,18,14,314,712,23,15,9,23,55,1
escaf001,54,1618,107,172,11,45,0.446721,0.45,2002,2005,0,0,1,0,0,0,0,0,1,0,1,84,206,226,20,43,30,11,2,0,13,8,2,6,56,0,9,4,1,3,0
escan101,9,296,44,4,1,1,0.364754,0.35,1954,1954,1,0,0,0,0,0,0,1,0,1,0,73,69,77,15,11,9,1,1,0,3,1,0,7,11,0,0,0,1,1,1
eschl101,0,0,11,4,3,0,0.42623,0.45,1942,1942,0,1,0,0,0,0,0,0,1,0,1,12,11,15,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
escoa001,0,18,2,1,0,0,0.344262,0.45,1988,1988,0,0,1,0,0,0,0,0,0,0,1,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
escoa002,99,2696,249,16,6,6,0.446721,0.5,2001,2006,0,0,0,0,1,0,0,0,1,0,1,125,388,439,53,100,69,14,4,13,52,5,1,41,112,1,2,3,5,5,1
escoa003,1408,37192,2000,3767,144,794,0.528689,0.5,2008,2018,0,0,0,0,0,0,1,0,1,0,1,1437,5307,5702,605,1367,1048,224,54,41,442,174,44,231,776,17,46,85,33,110,1
escoj001,4,156,15,13,0,4,0.262295,0.35,1991,1991,0,1,0,0,0,0,0,0,1,0,1,10,15,17,0,3,3,0,0,0,1,0,0,1,4,0,0,1,0,0,0
escoy001,1377,36073,1698,3339,145,666,0.569672,0.55,2007,2017,0,0,0,0,0,0,1,0,1,0,1,1434,5315,5957,689,1501,1141,258,12,90,519,34,32,509,686,16,55,51,27,198,1
espid001,783,21267,1375,2231,62,497,0.528689,0.45,2010,2017,0,1,0,0,0,0,0,0,0,0,1,872,2910,3267,367,644,395,139,12,98,316,64,24,242,943,32,78,20,17,35,1
espos101,195,7110,317,659,42,82,0.364754,0.3,1952,1963,0,0,1,0,0,0,0,0,1,0,1,560,792,970,130,164,127,27,2,8,73,7,7,145,127,4,4,21,8,23,0
espyc001,260,7900,718,24,18,5,0.487705,0.6,1983,1993,0,0,0,0,1,0,0,0,0,0,1,546,1248,1385,160,304,238,43,16,7,108,103,40,104,277,5,3,20,10,11,1
essec101,232,6019,445,11,9,1,0.508197,0.4,1958,1963,0,0,0,0,1,0,0,0,1,0,1,404,1018,1140,139,260,164,45,4,47,150,0,0,97,233,4,9,7,9,28,1
estab101,0,0,1246,208,41,17,0.42623,0.25,1935,1949,0,0,0,0,1,0,0,0,1,0,1,680,2196,2569,279,620,437,106,33,44,308,13,17,350,246,0,8,15,0,79,0
estrt001,16,492,33,30,1,7,0.467213,0.35,2019,2019,0,1,0,0,0,0,0,0,1,0,1,35,64,69,12,16,10,3,0,3,12,4,0,3,15,0,1,1,0,1,0
etchb101,0,0,798,50,8,71,0.467213,0.5,1943,1944,1,0,0,0,0,0,0,1,0,1,0,119,327,369,32,72,45,19,0,8,35,1,0.5,35,52,0,1,6,0,6,1
etheb101,64,1668,44,120,16,12,0.385246,0.3,1967,1969,0,0,1,0,0,0,0,0,1,0,1,96,246,281,26,60,40,16,2,2,25,0,0,26,38,0,6,2,1,13,1
ethia001,1217,32621,2217,67,32,11,0.54918,0.55,2006,2017,0,0,0,0,1,0,0,1,0,1,0,1455,4800,5423,641,1367,868,303,34,162,687,29,28,519,938,68,58,2,44,104,1
etten101,0,0,8030,545,107,797,0.5,0.55,1938,1947,1,0,0,0,0,0,0,1,0,1,0,937,3320,3840,426,921,640,167,25,89,526,22,19,480,199,0,12,28,0,77,1
evanb101,129,3728,207,315,15,42,0.42623,0.5,1978,1982,0,0,1,0,0,0,0,0,1,0,1,224,501,560,40,126,104,17,3,2,41,3,5,41,62,4,1,8,9,8,1
evand001,2217,59275,7964,3929,329,846,0.508197,0.55,1969,1989,0,0,1,0,0,0,0,1,0,0,1,2687,8973,10737,1344,2223,1444,329,36,414,1354,98,68,1605,1410,141,35,34,90,133,1
evand002,2169,57951,5450,228,78,153,0.42623,0.55,1972,1991,0,0,0,0,1,0,0,0,1,0,1,2606,8996,10569,1470,2446,1505,483,73,385,1384,78,59,1391,1697,60,53,52,77,227,0
evanj101,0,0,729,97,31,16,0.344262,0.3,1915,1925,0,0,0,0,1,0,0,0,1,0,1,447,1224,1389,211,352,279,56,17,0,143,38,15.5,111,49,0,2,52,0,0,0
evann001,89,2311,488,45,4,29,0.590164,0.55,2008,2014,0,0,0,0,1,0,0,0,1,0,1,177,408,442,56,105,62,30,3,10,53,0,1,28,112,2,2,0,4,12,1
evanp001,10,273,18,19,0,1,0.54918,0.35,2017,2018,0,1,0,0,0,0,0,0,1,0,1,34,54,61,5,13,11,2,0,0,2,1,0,6,16,0,1,0,0,1,1
evant001,30,861,27,67,9,6,0.508197,0.5,1997,2000,0,0,1,0,0,0,0,0,1,0,1,42,102,119,17,26,19,6,0,1,7,0,4,13,25,0,2,1,1,2,0
evant002,4,178,11,0,0,0,0.54918,0.65,2007,2010,0,0,0,0,1,0,0,0,1,0,1,20,19,21,5,3,2,0,0,1,3,0,0,2,7,0,0,0,0,1,0
evera001,790,20774,1171,2361,89,521,0.42623,0.45,2001,2011,0,0,0,0,0,0,1,0,1,0,1,880,2758,3070,334,668,478,135,15,40,283,67,21,174,455,14,37,80,21,35,1
everc001,947,25026,2054,74,51,22,0.430328,0.45,1993,2006,0,0,0,0,1,0,0,0,0,0,1,1405,4809,5395,707,1304,818,258,26,202,792,107,54,442,1021,39,87,15,42,83,1
everh101,106,2888,2440,71,43,13,0.42623,0.55,1941,1956,0,0,0,0,1,0,0,0,1,0,1,1142,3801,4310,556,1055,729,187,41,98,565,45,36,415,420,0,27,65,2,116,1
everj102,0,0,3,3,1,0,0.20082,0.3,1902,1929,0,1,0,0,0,0,0,1,0,0,1,2,3,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
evert001,19,498,138,11,1,11,0.815574,0.45,2009,2009,1,0,0,0,0,0,0,0,1,0,1,24,85,97,13,19,11,6,0,2,7,0,0,8,17,1,2,1,1,6,0
ewinr101,0,0,0,1,0,0,0.303279,0.05,1921,1921,0,0,0,0,0,0,1,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ewins101,45,1186,110,5,3,7,0.508197,0.6,1973,1978,1,0,0,0,0,0,0,1,0,1,0,167,361,393,31,92,72,11,3,6,47,1,1,28,65,6,0,3,1,9,0
ewola101,0,0,11,16,0,0,0.364754,0.35,1919,1919,0,0,1,0,0,0,0,0,1,0,1,9,32,33,2,7,6,1,0,0,2,0,0,1,5,0,0,0,0,0,0
ezzeh101,0,0,248,460,45,38,0.336066,0.35,1923,1925,0,0,1,0,0,0,0,0,1,0,1,236,742,824,106,196,168,20,8,0,61,25,15,48,59,0,4,30,0,0,0
faedl001,163,4250,232,437,27,88,0.385246,0.45,1980,1984,0,0,0,0,0,0,1,0,1,0,1,174,529,566,42,133,110,17,1,5,52,1,0,25,49,1,1,6,5,14,0
faheb001,110,3091,223,207,14,59,0.344262,0.55,2006,2008,0,1,0,0,0,0,0,1,0,0,1,189,411,455,54,92,67,18,5,2,36,5,4,28,82,0,4,11,1,6,0
fainf101,140,3755,9541,929,141,1125,0.42623,0.4,1947,1955,1,0,0,0,0,0,0,1,0,1,0,1151,3930,4904,595,1139,848,213,30,48,570,46,28,904,261,3,18,44,8,117,0
fairj102,155,4281,296,13,14,2,0.467213,0.35,1968,1973,0,0,0,0,1,0,0,1,0,1,0,399,766,831,86,180,138,28,7,7,75,6,12,47,122,11,2,11,5,12,1
fairr101,1851,50279,10769,773,122,867,0.405738,0.35,1958,1978,1,0,0,0,0,0,0,1,0,1,0,2442,7184,8437,931,1913,1358,307,33,215,1044,35,33,1052,877,129,40,96,65,157,1
falkb101,0,0,2520,136,92,38,0.405738,0.45,1920,1931,0,0,0,0,1,0,0,1,0,1,0,1353,4652,5264,655,1463,1035,300,59,69,784,47,49,412,279,0,12,188,0,0,0
fallg101,0,0,213,255,17,55,0.32377,0.3,1937,1945,0,1,0,0,0,0,0,0,1,0,1,133,282,321,26,61,49,10,1,1,21,2,1,25,26,0,2,12,0,10,1
falui001,26,815,45,74,4,18,0.446721,0.3,2012,2014,0,0,1,0,0,0,0,0,0,0,1,47,119,130,14,33,26,6,1,0,8,1,2,8,14,1,0,2,1,4,1
faner001,22,793,79,3,2,0,0.385246,0.45,1993,1996,0,0,0,0,1,0,0,0,1,0,1,80,132,151,10,23,15,7,1,0,9,1,0,16,42,0,0,3,0,3,1
fanzc101,143,4093,549,255,38,51,0.508197,0.45,1970,1974,0,0,1,0,0,0,0,0,1,0,1,237,588,680,66,132,85,27,0,20,94,3,6,74,119,8,6,3,9,14,1
farim001,55,1472,111,22,0,8,0.42623,0.65,1991,1993,0,0,0,0,1,0,0,0,1,0,1,104,226,259,22,49,33,10,2,4,29,0,2,29,75,0,2,2,0,5,1
farip001,58,1600,120,178,5,32,0.364754,0.35,1990,1993,0,1,0,0,0,0,0,0,1,0,1,96,214,245,26,43,34,7,2,0,14,5,2,20,34,0,2,7,2,6,1
farlb101,24,670,118,7,4,12,0.508197,0.55,1961,1962,1,0,0,0,0,0,0,1,0,1,0,84,123,154,19,20,14,3,1,2,9,0,1,30,28,0,0,0,1,0,1
farrd101,0,0,1066,1461,169,241,0.344262,0.25,1925,1935,0,1,0,0,0,0,0,0,1,0,1,591,1799,1979,181,467,386,63,8,10,213,14,8,109,120,0,10,61,0,0,1
farre001,0,12,1,0,0,0,0.42623,0.3,2011,2012,0,1,0,0,0,0,0,0,1,0,1,14,9,10,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1
fazie101,62,1951,145,182,13,23,0.364754,0.2,1962,1966,0,0,0,0,0,0,1,0,1,0,1,141,274,310,37,50,34,10,4,2,8,5,4,33,85,3,1,2,0,2,1
featt001,55,1750,101,153,8,25,0.446721,0.5,2015,2017,0,1,0,0,0,0,0,0,1,0,1,137,219,244,31,35,23,7,1,4,16,7,2,14,72,0,4,4,3,4,1
feblc001,454,12124,872,1376,49,351,0.385246,0.4,1998,2003,0,1,0,0,0,0,0,0,1,0,1,506,1656,1892,255,414,307,65,18,24,146,68,20,163,297,1,32,36,5,49,0
fedea101,0,0,151,208,10,45,0.364754,0.35,1951,1952,0,1,0,0,0,0,0,0,1,0,1,76,235,259,14,56,50,4,2,0,14,1,0,16,13,0,1,7,0,4,0
feine101,0,0,19,19,2,5,0.364754,0.3,1938,1939,0,0,0,0,0,0,1,0,0,0,1,16,38,42,2,7,6,1,0,0,0,0,0,2,1,0,0,2,0,0,1
feldm001,477,14396,1261,72,23,20,0.344262,0.25,1985,1994,0,0,0,0,1,0,0,0,0,0,1,899,2262,2497,318,564,459,59,32,14,173,161,46,168,217,8,6,45,16,19,1
felig101,0,0,1259,73,61,11,0.42623,0.45,1923,1927,0,0,0,0,1,0,0,0,1,0,1,583,2046,2299,256,561,433,91,25,12,230,28,28.5,189,194,0,17,47,0,0,1
felij001,539,14306,1232,37,37,7,0.385246,0.45,1989,1994,0,0,0,0,1,0,0,0,0,0,1,585,2132,2339,309,562,378,105,24,55,280,49,40,158,509,10,19,7,23,35,1
felij002,19,655,52,1,0,0,0.467213,0.35,2010,2010,0,0,0,0,1,0,0,1,0,1,0,54,108,119,12,25,20,4,1,0,3,1,0,6,12,0,1,3,1,3,1
felip001,1040,28362,1594,1900,110,277,0.54918,0.5,2000,2010,0,0,1,0,0,0,0,0,1,0,1,1302,4254,4544,487,1065,691,209,25,140,598,13,12,230,663,18,10,11,39,124,1
felsh101,0,0,745,57,21,25,0.405738,0.4,1915,1920,0,0,0,0,1,0,0,0,1,0,1,277,1058,1180,156,326,205,74,26,21,201,27,22.5,77,60,0,10,35,0,0,0
fenwb101,10,396,24,38,4,14,0.364754,0.3,1972,1973,0,1,0,0,0,0,0,0,1,0,1,41,56,59,7,10,7,3,0,0,5,0,1,3,15,1,0,0,0,1,1
fermf001,829,21577,1339,2390,110,501,0.344262,0.4,1987,1996,0,0,0,0,0,0,1,0,1,0,1,903,2767,3072,294,718,617,86,11,4,207,27,21,166,147,4,24,96,19,88,1
fernc101,2,92,6,9,1,2,0.344262,0.35,1968,1968,0,1,0,0,0,0,0,0,1,0,1,24,18,19,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
fernc102,759,20401,1429,2106,149,395,0.364754,0.45,1956,1963,0,0,0,0,0,0,1,0,1,0,1,856,2778,3079,270,666,516,91,19,40,259,68,28,213,338,21,4,60,24,88,1
fernj001,6,144,7,9,3,0,0.590164,0.6,1999,2001,0,0,1,0,0,0,0,0,1,0,1,21,49,52,1,7,4,3,0,0,1,0,1,3,17,0,0,0,0,1,1
fernj004,28,675,172,10,0,30,0.446721,0.35,2018,2018,1,0,0,0,0,0,0,1,0,0,1,36,116,123,9,31,21,8,0,2,11,1,0,6,15,0,1,0,0,2,0
fernn101,0,0,526,649,83,63,0.385246,0.3,1942,1950,0,0,1,0,0,0,0,0,1,0,1,408,1356,1489,139,336,256,59,5,16,145,20,10,109,142,0,4,20,0,41,1
fernt001,1998,52650,3214,5544,196,1089,0.364754,0.55,1983,2001,0,0,0,0,0,0,1,0,0,0,1,2158,7911,8793,1057,2276,1676,414,92,94,844,246,138,690,784,48,64,67,61,161,1
ferra101,332,8266,493,9,20,2,0.508197,0.5,1963,1971,0,0,0,0,1,0,0,0,1,0,1,574,1382,1573,148,358,240,60,7,51,198,0,1,156,286,12,27,2,6,27,1
ferrm101,130,3555,114,256,18,22,0.405738,0.4,1966,1972,0,0,1,0,0,0,0,0,1,0,1,162,500,532,28,116,94,18,2,2,30,0,5,23,61,2,1,4,4,22,0
ferrs101,43,1413,85,157,18,31,0.282787,0.2,1974,1979,0,1,0,0,0,0,0,0,0,0,1,125,178,206,41,43,36,3,4,0,3,7,8,17,27,0,3,7,1,2,1
fewsc101,0,0,1172,1252,147,176,0.344262,0.4,1917,1927,0,1,0,0,0,0,0,0,1,0,1,628,1925,2250,279,497,388,91,12,6,166,56,55.5,235,259,0,25,65,0,0,1
fickr001,406,10866,2499,147,41,191,0.463115,0.5,1998,2007,1,0,0,0,0,0,0,1,0,0,1,846,2373,2658,287,613,416,116,12,69,324,6,9,235,386,19,22,4,24,61,1
fielb001,25,670,48,0,1,0,0.446721,0.45,1986,1989,0,0,0,0,1,0,0,1,0,0,1,58,113,123,14,31,22,7,1,1,11,1,2,5,18,0,0,3,2,2,0
fielc001,889,22479,7382,694,70,742,0.631148,0.6,1985,1998,1,0,0,0,0,0,0,0,1,0,1,1470,5157,5939,744,1313,787,200,7,319,1008,2,6,693,1316,76,43,0,46,169,0
field001,0,21,2,0,1,0,0.569672,0.55,2015,2015,0,0,0,0,1,0,0,1,0,0,1,1,3,3,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
fielj001,178,4768,228,313,26,34,0.610656,0.55,2006,2010,0,0,1,0,0,0,0,0,1,0,1,217,713,796,95,167,105,25,3,34,107,3,4,69,235,0,3,8,3,17,0
fielp001,1316,34775,10722,744,95,1025,0.815574,0.4,2005,2016,1,0,0,0,0,0,0,1,0,0,1,1611,5821,6853,862,1645,995,321,10,319,1028,18,11,847,1155,164,124,0,61,158,1
fielt001,29,880,56,94,4,13,0.446721,0.35,2011,2015,0,1,0,0,0,0,0,0,1,0,1,47,117,126,14,25,22,1,0,2,8,1,0,7,38,0,1,1,0,1,1
figgc001,1173,31319,1612,1833,111,275,0.42623,0.25,2002,2014,0,1,0,0,0,0,0,0,0,0,1,1282,4701,5360,708,1298,1017,188,58,35,403,341,119,540,832,6,10,69,40,73,1
figub001,2,103,7,11,1,0,0.385246,0.35,1992,1992,0,1,0,0,0,0,0,0,1,0,1,12,11,12,1,2,1,1,0,0,4,0,0,1,2,0,0,0,0,0,1
figuc001,14,445,21,37,2,6,0.446721,0.35,2014,2016,0,1,0,0,0,0,0,1,0,0,1,48,77,84,8,16,11,4,1,0,9,1,0,5,6,0,0,0,2,0,1
figuj101,29,1023,89,6,2,2,0.344262,0.35,1980,1980,0,0,0,0,1,0,0,1,0,1,0,115,198,216,20,50,44,5,0,1,11,2,1,14,16,0,2,2,0,3,1
