,retroID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
14416,watsm103,157,275,23,47,6,4,2,18,0,0.0,5,91,0.0,1,12,0.0,0.0,1
14417,watst001,546,7,0,1,0,0,0,0,0,0.0,0,6,0.0,0,3,0.0,0.0,1
14418,watta101,1,1,0,1,1,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14419,watte101,411,100,9,19,1,0,3,4,0,0.0,6,31,0.0,1,4,0.0,3.0,1
14420,wattf101,38,39,2,8,2,0,0,5,0,0.0,2,6,0.0,0,0,0.0,0.0,1
14421,watwj101,469,1423,192,403,66,16,5,158,27,17.0,154,103,0.0,6,38,0.0,0.0,1
14422,waugj101,46,32,2,6,0,0,0,1,0,0.0,3,10,0.0,0,2,0.0,2.0,1
14423,way-b101,5,3,3,1,0,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14424,wayef101,2,2,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14425,wayng001,231,2,0,1,0,0,0,2,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14426,waynj001,26,12,0,0,0,0,0,0,0,0.0,0,5,0.0,0,2,0.0,0.0,1
14427,weafk101,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14428,weatd001,967,139,7,14,0,0,2,4,0,0.0,7,85,0.0,1,17,0.0,0.0,1
14429,weatr101,811,2781,415,794,152,44,43,290,42,49.0,180,170,0.0,7,40,0.0,24.0,1
14430,weavb101,291,1200,191,377,67,17,5,150,41,28.0,39,44,0.0,11,60,0.0,0.0,0
14431,weave001,32,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
14432,weavf101,85,20,3,2,1,0,0,1,0,0.0,1,11,0.0,0,2,0.0,0.0,0
14433,weavh101,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14434,weavj001,31,31,6,5,4,0,0,2,2,2.0,3,14,0.0,0,0,0.0,0.0,1
14435,weavj002,365,208,14,43,6,1,0,13,0,0.0,6,73,0.0,1,24,0.0,1.0,1
14436,weavj003,331,55,3,4,0,0,0,1,0,0.0,2,25,0.0,0,0,0.0,1.0,1
14437,weavj101,189,289,11,30,3,1,0,11,0,0.0,15,120,0.0,1,27,0.0,6.0,1
14438,weavj102,27,7,0,0,0,0,0,0,0,0.0,0,4,0.0,0,1,0.0,0.0,0
14439,weavl001,58,70,7,14,0,0,0,3,0,0.0,2,27,0.0,0,10,0.0,1.0,1
14440,weavm101,202,378,43,79,10,4,0,30,0,0.0,14,73,0.0,5,13,0.0,0.0,0
14441,weavr101,19,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14442,webbb001,199,391,12,44,9,0,0,29,0,0.0,10,182,0.0,0,55,1.0,4.0,1
14443,webbb102,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14444,webbd001,94,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14445,webbe101,650,2161,326,661,155,25,56,333,8,5.5,260,202,0.0,2,37,0.0,0.0,1
14446,webbh101,55,40,7,8,0,0,0,4,0,0.0,3,9,0.0,0,0,0.0,0.0,1
14447,webbj001,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14448,webbl102,154,111,11,15,1,0,1,5,1,0.5,7,27,0.0,1,12,0.0,3.0,1
14449,webbr001,375,5,1,1,0,0,0,0,0,0.0,0,4,0.0,0,0,0.0,0.0,1
14450,webbr101,25,19,3,6,0,1,0,3,0,0.0,0,2,0.0,0,2,0.0,2.0,1
14451,webbs101,699,2274,216,498,73,15,3,166,33,26.0,132,215,0.0,3,44,0.0,40.0,1
14452,webbt001,31,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
14453,webeb001,228,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14454,weben001,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14455,weber001,24,17,0,0,0,0,0,0,0,0.0,0,12,0.0,0,0,0.0,0.0,1
14456,webet001,10,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14457,websa001,31,11,1,0,0,0,0,0,0,0.0,0,6,0.0,0,0,0.0,0.0,1
