retroID,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
kella103,0.508197,0.45,1948,1959,0,0,0,0,0,1,0,0,1,1,0,323,643,704,49,138,117,16,1,4,57,0,0,30,106,0,2,28,1,23,1
kellb001,0.487705,0.55,1986,1987,0,0,0,0,0,1,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellb002,0.42623,0.55,1987,2000,0,0,0,0,1,0,0,0,1,0,1,1337,4797,5226,687,1390,995,241,30,124,585,235,84,317,862,16,49,22,41,113,1
kellb003,0.631148,0.7,2018,2019,0,0,0,0,0,1,0,0,1,0,1,69,11,13,1,2,2,0,0,0,1,0,0,1,6,0,0,1,0,0,0
kellb102,0.467213,0.45,1920,1928,1,0,0,0,0,0,0,0,1,0,1,32,84,93,6,15,12,2,1,0,5,0,0,7,22,0,0,2,0,0,1
kellb103,0.42623,0.45,1951,1958,0,0,0,0,0,1,0,0,1,0,1,123,90,97,3,16,16,0,0,0,1,0,0,2,22,0,0,5,0,2,1
kellc001,0.569672,0.6,2012,2018,0,0,0,0,0,1,0,0,1,0,1,27,18,24,0,2,2,0,0,0,0,0,0,0,8,0,0,6,0,1,1
kellc002,0.590164,0.55,2016,2019,0,0,0,1,0,0,0,0,1,0,1,174,431,496,53,95,54,23,0,18,57,0,0,56,99,10,5,3,1,14,1
kellc101,0.446721,0.35,1939,1952,0,0,0,0,1,0,0,1,0,0,1,1170,3790,4604,725,1085,658,166,72,189,760,45,23,784,499,0,10,20,0,50,0
kelld001,0.569672,0.65,2007,2016,1,0,0,0,0,0,0,1,0,0,1,585,1098,1220,148,252,192,28,9,23,98,16,2,92,171,2,11,11,8,24,1
kelld102,0.401639,0.4,1964,1971,0,0,0,0,0,1,0,0,1,1,0,189,125,134,3,12,10,2,0,0,3,0,0,4,70,0,0,5,0,1,1
kellf102,0.446721,0.55,1953,1956,1,0,0,0,0,0,0,0,1,0,1,122,247,277,25,57,37,9,3,8,37,0,1,26,36,1,0,1,3,9,1
kellf103,0.487705,0.5,1942,1943,0,0,0,0,1,0,0,0,1,0,1,47,120,140,14,20,13,3,1,3,12,0,0,18,20,0,0,2,0,2,1
kellg101,0.467213,0.65,1915,1932,1,0,0,0,0,0,0,0,1,0,1,1537,5849,6410,811,1758,1202,335,74,147,1013,64,50,378,649,0,28,155,0,0,1
kellg102,0.405738,0.3,1943,1957,0,0,1,0,0,0,0,0,1,0,1,1795,6702,7528,881,2054,1541,385,50,78,870,51,36,621,287,7,36,149,20,188,0
kellh101,0.385246,0.3,1925,1939,0,0,0,0,0,1,0,0,1,0,1,147,232,249,16,50,41,9,0,0,25,0,0,5,14,0,1,11,0,1,0
kellh103,0.508197,0.5,1949,1952,0,0,0,1,0,0,0,1,0,0,1,25,54,57,4,11,5,5,0,1,5,0,0,3,3,0,0,0,0,1,0
kellh104,0.364754,0.45,1935,1938,0,0,0,0,0,1,0,0,1,0,1,53,39,42,4,9,8,1,0,0,0,0,0,3,8,0,0,0,0,2,1
kellj001,0.401639,0.5,2012,2019,0,0,0,0,0,1,0,0,1,0,1,313,89,101,7,15,11,4,0,0,5,1,0,0,27,0,2,9,1,0,1
kellj101,0.42623,0.45,1926,1928,1,0,0,0,0,0,0,1,0,1,0,97,228,246,19,70,50,16,3,1,39,0,0,8,14,0,2,8,0,0,1
kellj102,0.405738,0.35,1914,1919,0,0,0,0,1,0,0,0,1,0,1,18,64,66,3,9,8,1,0,0,3,2,1,0,11,0,1,1,0,0,1
kellj107,0.303279,0.4,1912,1924,1,0,0,0,0,0,0,0,1,0,1,225,688,777,81,202,156,28,8,10,88,9,16,45,40,0,2,42,0,0,1
kellk001,0.42623,0.6,2000,2005,0,0,0,0,1,0,0,0,1,0,1,26,14,15,5,4,3,1,0,0,2,1,2,1,6,0,0,0,0,0,1
kellk002,0.610656,0.55,2002,2002,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellk003,0.508197,0.65,2019,2019,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kellm001,0.487705,0.65,1994,1999,0,0,0,0,1,0,0,0,1,0,1,327,684,749,111,165,92,45,6,22,86,30,11,54,187,1,5,3,3,16,1
kellm002,0.467213,0.55,2019,2019,0,0,0,0,0,1,0,0,1,0,1,32,52,60,3,1,1,0,0,0,2,0,0,2,25,0,0,6,0,2,1
kellm003,0.54918,0.55,2019,2019,0,0,0,0,0,1,0,0,1,0,1,11,10,11,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1
kellm101,0.409836,0.3,1972,1982,0,0,0,0,0,0,1,0,1,0,1,622,1081,1202,108,230,192,32,6,0,65,9,10,74,133,7,7,35,5,37,1
kellm102,0.418033,0.5,1926,1926,0,0,0,0,0,1,0,0,1,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
kellp001,0.42623,0.45,1991,1999,0,1,0,0,0,0,0,0,1,0,1,681,1988,2235,253,495,339,109,11,36,217,61,29,145,425,3,33,46,23,44,1
kellp101,0.446721,0.5,1967,1981,0,0,0,0,1,0,0,1,0,1,0,1385,4338,5011,620,1147,847,189,35,76,418,250,118,588,768,25,29,26,30,97,0
kellp102,0.54918,0.6,1980,1980,0,0,0,1,0,0,0,0,1,0,1,3,7,7,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
kellr001,0.42623,0.55,2015,2015,0,0,0,0,0,1,0,0,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kellr101,0.508197,0.55,1966,1968,0,0,0,0,0,1,0,0,1,0,1,11,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kellr102,0.438525,0.45,1923,1923,0,0,0,0,0,1,0,0,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kellr104,0.446721,0.45,1934,1934,0,1,0,0,0,0,0,0,1,0,1,9,9,10,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
kells001,0.659836,0.55,2009,2019,0,0,0,0,0,1,0,0,1,0,1,494,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
kells102,0.344262,0.3,1952,1952,0,1,0,0,0,0,0,0,1,0,1,75,213,236,24,47,36,8,3,0,17,5,1,14,18,0,2,7,0,4,0
